Sr. No,Symbol,Series,Security Name,From,To
1,CMRSL,SM,CYBER MEDIA RESEARCH & SERVICES LIMITED,10,5
2,PREMIERPOL,BE,PREMIER POLYFILM LIMITED,10,5
3,SANGANI,ST,SANGANI HOSPITALS LIMITED,10,5
4,VAISHALI,BE,VAISHALI PHARMA LIMITED,20,5
5,DIFFNKG,EQ,DIFFUSION ENGINEERS LIMITED,5,20
6,DIVYADHAN,SM,DIVYADHAN RECYCLING INDUSTRIES LIMITED,5,20
7,FORGEAUTO,SM,FORGE AUTO INTERNATIONAL LIMITED,5,20
8,GLFL,BE,GUJARAT LEASE FINANCING LIMITED,5,2
9,LATTEYS,BE,LATTEYS INDUSTRIES LIMITED,5,2
10,NILASPACES,BE,NILA SPACES LIMITED,5,2
11,SAHASRA,SM,SAHASRA ELECTRONIC SOLUTIONS LIMITED,5,20
12,SHEKHAWATI,BE,SHEKHAWATI INDUSTRIES LIMITED,5,2
13,SPRL,ST,SP REFRACTORIES LIMITED,5,2
