"Security Name","Symbol Name","Trade Date","Quantity"
"BATA INDIA LTD","BATAINDIA","17-Oct-2024","42000"
"JUBILANT FOODWORKS LTD","JUBLFOOD","17-Oct-2024","11250"
"ICICI BANK LTD.","ICICIBANK","17-Oct-2024","400"
"DLF LIMITED","DLF","17-Oct-2024","2"
"ONE 97 COMMUNICATIONS LTD","PAYTM","17-Oct-2024","20"
"MARUTI SUZUKI INDIA LTD.","MARUTI","17-Oct-2024","25150"
"AXIS BANK LIMITED","AXISBANK","17-Oct-2024","11"
"HDFC STANDARD LIFE INSURANCE COMPANY LIMITED","HDFCLIFE","17-Oct-2024","4"
"RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED","RCF","17-Oct-2024","3003"
"ASIAN PAINTS LIMITED","ASIANPAINT","17-Oct-2024","1400"
"CANARA BANK","CANBK","17-Oct-2024","500"
"HINDUSTAN PETROLEUM CORP","HINDPETRO","17-Oct-2024","1018"
"MUTHOOT FINANCE LIMITED","MUTHOOTFIN","17-Oct-2024","17"
"HINDALCO  INDUSTRIES  LTD","HINDALCO","17-Oct-2024","944"
"MPHASIS LIMITED","MPHASIS","17-Oct-2024","28"
"RELIANCE INDUSTRIES LTD","RELIANCE","17-Oct-2024","10"
"LARSEN & TOUBRO LTD.","LT","17-Oct-2024","1"
"MAHINDRA & MAHINDRA LTD","M&M","17-Oct-2024","1"
