SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
MAZAGON DOCK SHIPBUIL LTD,      4237.80,      4526.35,8493150,              38305872486.00
ZOMATO LIMITED,       270.55,       257.45,108015952,              28198930951.00
AXIS BANK LIMITED,      1131.85,      1196.85,20829666,              24695940613.15
BSE LIMITED,      4257.55,      4274.80,5711214,              24615638727.55
HDFC BANK LTD,      1673.15,      1681.85,12404862,              20776848848.90
WIPRO LTD,       528.75,       548.65,37326527,              20488612199.20
INFOSYS LIMITED,      1968.10,      1879.60,10526196,              19911246940.10
MOTILAL OSWAL FIN LTD,       929.40,      1029.70,17840410,              17891232893.30
RELIANCE INDUSTRIES LTD,      2712.85,      2718.60,6041226,              16395116698.50
BAJAJ AUTO LIMITED,     10119.45,     10063.95,1543331,              15448410212.80
ICICI BANK LTD.,      1231.25,      1264.50,11018126,              13842929408.20
POLYCAB INDIA LIMITED,      7120.55,      7120.40,1967388,              13561194158.75
ANGEL ONE LIMITED,      3127.85,      3114.40,4149241,              12974148929.20
MANAPPURAM FINANCE LTD,       177.33,       153.27,80781248,              12294616183.56
ITC LTD,       488.90,       486.70,21778099,              10510819521.05
TATA MOTORS LIMITED,       891.60,       910.15,11527914,              10454074347.95
MAHINDRA & MAHINDRA LTD,      2964.60,      2964.25,3407751,              10092931933.00
TATA CONSULTANCY SERV LT,      4109.00,      4123.05,2361000,               9730315576.70
STATE BANK OF INDIA,       811.05,       820.40,11704698,               9546386592.90
CENTRAL DEPO SER (I) LTD,      1545.00,      1579.30,5823127,               9046795047.10
INDRAPRASTHA GAS LTD,       504.55,       451.70,18330579,               8318828942.00
MAHANAGAR GAS LTD.,      1762.10,      1582.25,5199584,               8110629182.50
ONE 97 COMMUNICATIONS LTD,       696.15,       725.15,10913448,               7713221913.50
LARSEN & TOUBRO LTD.,      3570.30,      3577.80,2102609,               7517044754.05
KOTAK MAHINDRA BANK LTD,      1864.05,      1871.05,3834767,               7164968183.00

